symbol,price,change,change_percent,timestamp,source
BTC-USD,0.0,0.0,0.0,2025-12-15 17:47:37,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:47:42,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:47:47,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:47:52,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:47:57,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:48:02,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:48:07,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:48:12,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:48:17,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:48:22,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:48:27,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:48:32,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:48:37,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:48:42,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:48:47,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:48:52,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:48:57,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:49:02,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:49:07,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:49:12,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:49:17,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:49:22,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:49:27,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:49:32,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:49:37,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:49:42,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:49:47,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:49:52,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:49:57,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:50:02,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:51:18,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:51:18,yfinance
EURUSD=X,0.0,0.0,0.0,2025-12-15 17:51:18,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:51:18,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:51:18,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:51:18,yfinance
